[00:00:00][ZH] 那我講,那家長可能看了報告之後
[00:54:12][EN*]  第三個問題是你那時候做了什麼事情,那這是要讓她承擔責任。
[00:54:20][EN*]  And what will you do next time? Life skills.
[00:54:30][ZH] 這個簡直的細節 連線了健康治療與實驗的發展。
[00:54:36][ZH] 它移動了年輕人從這件事發生的事件到這件事件,我所提供的事件,我可以學習,我會選擇的事件。
[00:54:47][ZH] 這是個人的社會主義主義主義。
[00:55:00][ZH] 誒,這件事情發生在我身上,我是一個受害者,轉變成,誒,這件事情發生了,那我在其中也是有責任,我可以從中學習,而且下一次要怎麼做,我是有選擇權的。
[00:55:11][ZH] 那這個就是Personal Agency,就是個人主體,個人主體能動的開端,就是自己選擇權都在自己手上。
[00:55:21][ZH] 現在,為什麼要這個問題?
[00:55:24][ZH] 我希望你兩種未來的目標
[00:55:27][ZH] 一種,我們只要問我們如何處理 mental病毒?
[00:55:30][?EN]  how do we treat mental illness?
[00:55:33][?EN]  This is an important question, but it's incomplete.
[00:55:33][?ZH] 這是一個重要的問題,但它是不足的問題
[00:55:36][?ZH] 我想另一個未來的目標
[00:55:36][?EN]  I imagine another future where we also ask,
[00:55:37][?ZH] 我們也問我們要為我們要建立健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康健康 statements
[00:55:39][?EN]  how do we intentionally build mentally healthy adults?
[00:55:45][?EN]  That changes everything.
[00:55:47][?EN]  Instead of waiting until the crisis, we prepare before the crisis, we help things go right.
[00:55:54][?EN]  Instead of only treating problems, we build strengths.
[00:55:57][?ZH] 不可以提出自己事情嗎?
[00:55:58][?EN]  Instead of asking, what's wrong with a young person?
[00:56:00][ZH] 我們問我們我們問我們什麼事情的需要教學?
[00:56:06][ZH] 那這轉變是我們看到整個世代的變化
[00:56:36][ZH] 被動的等待危機爆發轉變成危機來臨前我們就可以做好完全的準備
[00:56:41][ZH] 然後從以前只會專注於治療問題和症狀轉變成要建立個案的優勢能力
[00:56:47][ZH] 然後從以前這個孩子到底有什麼問題
[00:56:49][ZH] 轉變成問我們自己說這個孩子還有哪些生活技能還沒有被教導建立
[00:56:55][ZH] 那這樣的思維轉變就會改寫我們去看待去對待新世代的一個方式
[00:57:11][EN*]  It's not simply does the young person behave better, although that matters too.
[00:57:16][EN*]  The deeper question is, is this young person becoming more capable of managing his own life?
[00:57:41][EN*]  can he identify what he has been? Communicate what he needs? Manage his time, solve problems, tolerate frustration, maintain relationships, accept responsibility, make decisions, recover from mistakes, that is where mental health and life skills come together.
[00:58:10][EN*]  The question is not simply does he function well whilst someone is helping him, the question
[00:58:16][EN*]  is is he becoming capable of helping himself?
[00:58:21][EN*]  That's the key.
[00:58:26][EN*]  and how to manage your life and manage your life.
[00:58:28][EN*]  These are the指標.
[00:58:29][EN*]  How can you feel your emotions and feelings?
[00:58:41][ZH] 可不可以承擔責任,可不可以自行做出明智的決定,可不可以從錯誤還有失敗中去復原
[00:58:48][ZH] 那這就是心理健康還有生活技能交會的核心所在
[00:58:53][ZH] 所以關鍵不是在有人協助的狀況下他可以表現得很好
[00:58:58][ZH] 而是他有沒有正逐漸講出可以幫助自己的福利
[00:59:03][EN*]  I'd like to leave you with one high and flow, so healthy builds are not wrong, they're developed.
[00:59:10][EN*]  For generations, families, schools, communities, and life itself naturally developed many of the skills young people needed.
[00:59:17][EN*]  But today's world is very different.
[00:59:20][EN*]  that doesn't make this generation weaker it simply means they need more intentional guidance
[00:59:25][EN*]  that is where life skills coaching has an important role not replacing therapy not replacing parents
[00:59:33][ZH] 而是跟我們三個人合作,
[00:59:35][ZH] 因為每個人都得到更多的症狀態。
[00:59:38][ZH] 他們得到能力,
[00:59:40][ZH] 肯定,
[00:59:41][ZH] 肯定,
[00:59:43][ZH] 求求,
[00:59:44][ZH] 和希望。
[00:59:46][ZH] 我們經歷了一段時間問,
[00:59:47][ZH] 我們如何去治癒 mental illness?
[00:59:49][ZH] 今天,我推薦一個很重要的問題,
[00:59:52][ZH] 我們如何去建議 mental wellness?
[00:59:58][ZH] 好,那最後我想要給大家一個核心的訊息
[01:00:00][ZH] 就是身心健全的成年人其實不是天神與生俱來的
[01:00:05][ZH] 而是要被培育出來的
[01:00:07][ZH] 那在過去的時代,家庭、學校、社群
[01:00:11][ZH] 還有真實生活的本身會很自然的去鍛造
[01:00:14][ZH] 去鍛煉年輕人所需要的各種生存還有適應的技能
[01:00:18][ZH] 但是我們現在活在一個不一樣的世界
[01:00:20][ZH] 那這個世界就是不表示說年輕人就是比較脆弱
[01:00:26][ZH] 而是代表年輕人需要更多有意識
[01:00:28][ZH] 有系統去引導他們
[01:00:31][ZH] 那這陣子就是生活
[01:00:33][ZH] 陪跑時扮演關鍵角色的地方
[01:00:36][ZH] 就是不是要取代心理治療
[01:00:38][ZH] 不是要取代父母學校教育
[01:00:40][ZH] 而是大家都一起攜手建立強大的夥伴關係
[01:00:44][ZH] 因為每一個神經多樣性
[01:00:46][ZH] 還有面臨挑戰的年輕人
[01:00:48][ZH] 他們所值得擁有的
[01:00:51][ZH] 不是隻有精神症狀的環節
[01:00:53][ZH] 而是他們很值得擁有實際能力
[01:00:55][ZH] 自信心,復元力,人生目標和希望。過去數十年來我們會探討如何治療心理症狀和疾病。
[01:01:02][EN*]  So, over the last 10 years, we will always look at how to treat mental health and mental health.
[01:01:08][EN*]  So how do we intentionally build mental wellness?
[01:01:20][EN*]  Well, I believe Life Skills Coaching is one more important answer.
[01:01:23][EN*]  Because therapy may help someone heal, but Life Skills Coaching helps people prepare for life.
[01:01:33][ZH] Healthy adults are not born
[01:01:36][ZH] They are intentionally developed
[01:01:40][ZH] Thank you very much
[01:01:45][ZH] 所以我再問一次這個問題
[01:01:48][ZH] 就是我們如何有意思的去建議心理健康還有全人福祉
[01:01:51][ZH] 我認為生活培託師會是一個關鍵的答案
[01:01:55][ZH] 因為心理治療可以幫助一個人療癒心理的創傷
[01:01:58][ZH] 但是生活培託師可以幫助孩子
[01:02:01][ZH] 為未來真實的人生做好準備
[01:02:03][ZH] 所以我想要再次用我剛才的核心訊息
[01:02:05][ZH] 來總結這場分享
[01:02:07][ZH] 就是身心健全的成年人不是天生的
[01:02:10][ZH] 而是我們需要有意識的去培養出來
[01:02:13][ZH] 謝謝大家
[01:02:15][ZH] 好
[01:02:16][ZH] 謝謝Berry
[01:02:19][ZH] 謝謝Amoly
[01:02:20][ZH] 那以上
[01:02:21][ZH] 延續三位講者
[01:02:22][ZH] 非常精彩的分享以後
[01:02:24][ZH] 我們有十分鐘的休息時間
[01:02:26][ZH] 早上有一些假點
[01:02:28][ZH] 大家可以取用
